Velocity,Pressure,Degree,Sabot
6.37E+00,1.01E+01,3.73E+01,1.00E+00
1.95E+00,2.71E+01,4.62E+01,1.00E+00
6.54E+00,1.01E+01,3.50E+01,1.00E+00
6.30E+00,1.00E+01,3.82E+01,1.00E+00
6.25E+00,1.00E+01,3.53E+01,1.00E+00
2.51E+00,2.67E+01,4.94E+01,1.00E+00
4.05E+00,1.33E+01,3.44E+01,1.00E+00
2.03E+00,2.67E+01,4.99E+01,1.00E+00
2.63E+00,2.67E+01,4.51E+01,1.00E+00
3.23E+00,2.67E+01,4.83E+01,1.00E+00
3.50E+00,1.47E+01,3.83E+01,1.00E+00
3.11E+00,2.67E+01,4.49E+01,1.00E+00
3.81E+00,1.47E+01,4.09E+01,1.00E+00
2.26E+00,4.00E+01,5.44E+01,1.00E+00
5.93E+00,1.07E+01,3.89E+01,1.00E+00
3.90E+00,1.33E+01,4.14E+01,1.00E+00
2.43E+00,3.99E+01,5.43E+01,1.00E+00
2.50E+00,2.87E+01,4.95E+01,1.00E+00
5.31E+00,1.33E+01,3.55E+01,1.00E+00
4.41E+00,1.33E+01,3.91E+01,1.00E+00
1.97E+00,2.63E+01,4.88E+01,1.00E+00
2.63E+00,2.67E+01,4.98E+01,1.00E+00
2.42E+00,2.65E+01,5.15E+01,1.00E+00
3.11E+00,1.36E+01,3.48E+01,1.00E+00
3.09E+00,1.33E+01,3.60E+01,1.00E+00
2.12E+00,2.65E+01,5.05E+01,1.00E+00
2.90E+00,2.67E+01,4.64E+01,1.00E+00
2.75E+00,2.67E+01,5.00E+01,1.00E+00
5.06E+00,1.13E+01,4.00E+01,1.00E+00
1.79E+00,3.33E+01,5.67E+01,1.00E+00
1.56E+00,3.67E+01,5.69E+01,1.00E+00
2.00E+00,3.00E+01,4.95E+01,1.00E+00
2.51E+00,2.00E+01,2.90E+01,1.00E+00
